공원명,공원구분,소재지지번주소,위도,경도,공원면적,관리기관명,제공기관코드,제공기관명
한방 어린이공원,어린이공원,경기도 평택시 합정동 881,36.990793,127.119713,1483,경기도 평택시청,3910000,경기도 평택시
샛별 어린이공원(서재지구 78호),어린이공원,경기도 평택시 동삭동 695-8,37.008235,127.095028,2322,경기도 평택시청,3910000,경기도 평택시
성동 어린이공원,어린이공원,경기도 평택시 비전동 610-1,36.995889,127.093712,2210,경기도 평택시청,3910000,경기도 평택시
소사1 어린이공원(소사지구),어린이공원,경기도 평택시 소사동 525,36.989393,127.124254,1480,경기도 평택시청,3910000,경기도 평택시
소사뜰 어린이공원(소사2지구),어린이공원,경기도 평택시 소사동 23-4,36.988838,127.130491,2754,경기도 평택시청,3910000,경기도 평택시
소사벌 어린이공원,어린이공원,경기도 평택시 비전동 879-2,36.994734,127.115778,2638.6,경기도 평택시청,3910000,경기도 평택시
송화 어린이공원,어린이공원,경기도 평택시 팽성읍 송화리 778-1,36.963975,127.059345,1558,경기도 평택시청,3910000,경기도 평택시
숲속 어린이공원(소사벌택지 1호),어린이공원,경기도 평택시 비전동 969공,37.007471,127.10402,4115,경기도 평택시청,3910000,경기도 평택시
신대쌈지 어린이공원,어린이공원,경기도 평택시 신대동 418-9,36.99526,127.066754,2129,경기도 평택시청,3910000,경기도 평택시
신작 어린이공원,어린이공원,경기도 평택시 합정동 908-4,36.98986,127.102063,2031,경기도 평택시청,3910000,경기도 평택시
신흥 어린이공원(신흥지구),어린이공원,경기도 평택시 용이동 749-1번지,37.001736,127.148257,2359,경기도 평택시청,3910000,경기도 평택시
용수말2,수변공원,충청남도 계룡시 두마면 농소리 245-1,36.25633598,127.2541214,2590,충청남도 계룡시청,5580000,충청남도 계룡시
안정 어린이공원(안정지구 6호),어린이공원,경기도 평택시 팽성읍 안정리 43-4,36.964653,127.045679,4858.3,경기도 평택시청,3910000,경기도 평택시
암석 제3호 어린이공원(영신지구),어린이공원,경기도 평택시 동삭동 575-1,37.020082,127.083718,2269,경기도 평택시청,3910000,경기도 평택시
앞마당 어린이공원(용죽지구),어린이공원,경기도 평택시 용이동 300-2번지,36.990964,127.121355,3613,경기도 평택시청,3910000,경기도 평택시
어린이공원(통복지구),어린이공원,경기도 평택시 통복동 22-2,36.998618,127.083086,1567,경기도 평택시청,3910000,경기도 평택시
어울림 어린이공원(현촌지구),어린이공원,경기도 평택시 용이동 593-3,36.999606,127.131558,3951,경기도 평택시청,3910000,경기도 평택시
어인남 어린이공원,어린이공원,경기도 평택시 비전동 752-13,36.994051,127.10067,985,경기도 평택시청,3910000,경기도 평택시
어제 3호 어린이공원(모산영신지구),어린이공원,경기도 평택시 동삭동 412-14,37.016004,127.090542,1887,경기도 평택시청,3910000,경기도 평택시
용이1호 어린이공원(용이지구),어린이공원,경기도 평택시 용이동 485-1,37.000023,127.14821,1805,경기도 평택시청,3910000,경기도 평택시
용이2호 어린이공원(용이지구),어린이공원,경기도 평택시 용이동 447-1,36.998348,127.139361,1849,경기도 평택시청,3910000,경기도 평택시
용이3호 어린이공원(용이지구),어린이공원,경기도 평택시 용이동 459-1,36.996513,127.140007,1914,경기도 평택시청,3910000,경기도 평택시
용이4호 어린이공원(용이지구),어린이공원,경기도 평택시 용이동 453-4,36.995507,127.136516,2589,경기도 평택시청,3910000,경기도 평택시
1호 소공원(장당지구),소공원,경기도 평택시 장당동 175-1,37.031648,127.069598,0,경기도 평택시청,3910000,경기도 평택시
칠성11,어린이공원,전라남도 광양시 광양읍 칠성리 1002-1,34.97798864,127.581144,2038.3,광양시 공원과,4840000,전라남도 광양시
인서1,어린이공원,전라남도 광양시 광양읍 인서리 479-1,34.96792196,127.5828066,2250.1,광양시 공원과,4840000,전라남도 광양시
인서2,어린이공원,전라남도 광양시 광양읍 인서리 463-4,34.96920657,127.5871529,2250,광양시 공원과,4840000,전라남도 광양시
덕례1,어린이공원,전라남도 광양시 광양읍 덕례리 1697,34.96418184,127.5729298,3410,광양시 공원과,4840000,전라남도 광양시
도하,소공원,서울특별시 금천구 독산동 1149,37.458753,126.8953896,3057.7,서울특별시 금천구청,3170000,서울특별시 금천구
박미사랑,소공원,서울특별시 금천구 시흥동 963-1,37.43762998,126.904519,2162.6,서울특별시 금천구청,3170000,서울특별시 금천구
독산,문화공원,서울특별시 금천구 독산동 1160-2,37.437907,126.904519,1011.1,서울특별시 금천구청,3170000,서울특별시 금천구
상리공원,어린이공원,강원특별자치도양구군 양구읍 상리 531,38.1057714,127.9859281,1597,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
정림공원1,어린이공원,강원특별자치도양구군 양구읍 상리 587,38.0995161,127.9881744,1498,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
정림공원2,어린이공원,강원특별자치도양구군 양구읍 상리 604-6,38.09610866,127.9906036,1499,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
하리수변공원,수변공원,강원특별자치도양구군 양구읍 하리 643,38.12695023,127.9917117,18437,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
묘지공원,묘지공원,강원특별자치도양구군 양구읍 죽곡리 산3-1,38.1253436,127.9986276,178931,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
상리공원3,어린이공원,강원특별자치도양구군 양구읍 상리 275-5,38.1062088,127.9907157,1768,강원특별자치도 양구군청,4321000,강원특별자치도 양구군
공원5,소공원,충청남도 계룡시 두마면 입암리 630,36.25224221,127.2682701,562,충청남도 계룡시청,5580000,충청남도 계룡시
공원7,소공원,충청남도 계룡시 신도안면 남선리 1259,36.29738147,127.2398812,11607,충청남도 계룡시청,5580000,충청남도 계룡시
공원9,소공원,충청남도 계룡시 두마면 농소리 185,36.259946,127.255807,498,충청남도 계룡시청,5580000,충청남도 계룡시
남선소공원1,소공원,충청남도 계룡시 신도안면 남선리 1312,36.30202617,127.2456228,4967,충청남도 계룡시청,5580000,충청남도 계룡시
입암공원1,역사공원,충청남도 계룡시 두마면 입암리 99,36.249119,127.270743,10015,충청남도 계룡시청,5580000,충청남도 계룡시
팥거리공원1,체육공원,충청남도 계룡시 두마면 두계리 1-2,36.263635,127.2788158,16644,충청남도 계룡시청,5580000,충청남도 계룡시
공원11,근린공원,충청남도 계룡시 두마면 농소리 산11-5,36.258773,127.2563677,19356,충청남도 계룡시청,5580000,충청남도 계룡시
공원9,근린공원,충청남도 계룡시 두마면 농소리 1063,36.26308322,127.2576623,32534,충청남도 계룡시청,5580000,충청남도 계룡시
대실공원2,근린공원,충청남도 계룡시 두마면 농소리 산4,36.260524,127.262853,81289,충청남도 계룡시청,5580000,충청남도 계룡시
두계공원4,근린공원,충청남도 계룡시 두마면 두계리 136-152,36.270631,127.267998,46780,충청남도 계룡시청,5580000,충청남도 계룡시
초지상소공원,소공원,경기도 안산시 단원구 초지동 606-5,37.322585,126.808241,3968,경기도 안산시청,3930000,경기도 안산시
41호 어린이공원(고덕국제화지구 두릉리),어린이공원,경기도 평택시 고덕면 두릉리 631-1답,37.055653,127.025264,2182,경기도 평택시청,3910000,경기도 평택시
42호 어린이공원(고덕국제화지구 두릉리),어린이공원,경기도 평택시 고덕면 두릉리 593-4답,37.055621,127.023015,2345,경기도 평택시청,3910000,경기도 평택시
43호 어린이공원(고덕국제화지구 해창리),어린이공원,경기도 평택시 고덕면 해창리 490-2대,37.042464,127.014761,1511,경기도 평택시청,3910000,경기도 평택시
44호 어린이공원(고덕국제화지구 율포리),어린이공원,경기도 평택시 고덕면 율포리 438-11임,37.047403,127.030629,2369,경기도 평택시청,3910000,경기도 평택시
45호 어린이공원(고덕국제화지구 율포리),어린이공원,경기도 평택시 고덕면 율포리 376전,37.0503,127.034107,1868,경기도 평택시청,3910000,경기도 평택시
46호 어린이공원(고덕국제화지구  해창리),어린이공원,경기도 평택시 고덕면 해창리 61-1답,37.031237,127.031844,1857,경기도 평택시청,3910000,경기도 평택시
47호 어린이공원(고덕국제화지구 당현리),어린이공원,경기도 평택시 고덕면 당현리 524-2답,37.064697,127.031864,9166,경기도 평택시청,3910000,경기도 평택시
48호 어린이공원(고덕국제화지구 율포리),어린이공원,경기도 평택시 고덕면 율포리 480답,37.049688,127.025091,8114,경기도 평택시청,3910000,경기도 평택시
49호 어린이공원(율포리),어린이공원,경기도 평택시 고덕면 율포리 106답,37.042946,127.042342,9077,경기도 평택시청,3910000,경기도 평택시
50호 어린이공원(고덕국제화지구  해창리),어린이공원,경기도 평택시 고덕면 해창리 382존,37.036711,127.023278,6614,경기도 평택시청,3910000,경기도 평택시
8호 어린이공원(서정동),어린이공원,경기도 평택시 서정동 692-5대,37.071243,127.059738,2542,경기도 평택시청,3910000,경기도 평택시
9호 어린이공원(서정동),어린이공원,경기도 평택시 서정동 산127-13임,37.061306,127.043194,5638,경기도 평택시청,3910000,경기도 평택시
건지 어린이공원,어린이공원,경기도 평택시 지산동 1136,37.077127,127.066247,1616.7,경기도 평택시청,3910000,경기도 평택시
광말 어린이공원,어린이공원,경기도 평택시 이충동 631,37.057816,127.063011,1536.2,경기도 평택시청,3910000,경기도 평택시
노루댕이 어린이공원(장당 3호),어린이공원,경기도 평택시 장당동 641-9,37.051757,127.064859,1500,경기도 평택시청,3910000,경기도 평택시
돌우물 어린이공원,어린이공원,경기도 평택시 이충동 676,37.058548,127.069157,4039.3,경기도 평택시청,3910000,경기도 평택시
동령 어린이공원,어린이공원,경기도 평택시 이충동 687,37.060955,127.069178,1997.2,경기도 평택시청,3910000,경기도 평택시
동막골(동구재) 어린이공원,어린이공원,경기도 평택시 서정동 845,37.066265,127.061203,1600.1,경기도 평택시청,3910000,경기도 평택시
동부 105호 어린이공원(신촌지구),어린이공원,경기도 평택시 칠원동 393-4,37.026563,127.109632,4053,경기도 평택시청,3910000,경기도 평택시
연지어린이공원,어린이공원,부산광역시 부산진구 연지동 48,35.17304567,129.0557013,1597.4,부산광역시 부산진구청,3290000,부산광역시 부산진구
꿈동산어린이공원,어린이공원,부산광역시 부산진구 양정동 91-2,35.1744214,129.0774871,1775.2,부산광역시 부산진구청,3290000,부산광역시 부산진구
전포2-1재개발,어린이공원,부산광역시 부산진구 전포동 415-7,35.1541799,129.0711269,3025,부산광역시 부산진구청,3290000,부산광역시 부산진구
양정1재개발,어린이공원,부산광역시 부산진구 양정동 32-138,35.1710826,129.0777374,1909,부산광역시 부산진구청,3290000,부산광역시 부산진구
39호 어린이공원(서정동),어린이공원,경기도 평택시 서정동 산126-4과,37.061627,127.043251,1509,경기도 평택시청,3910000,경기도 평택시
40호 어린이공원(고덕국제화지구 두릉리),어린이공원,경기도 평택시 고덕면 두릉리 산42임,37.058579,127.028561,1522,경기도 평택시청,3910000,경기도 평택시
두동소공원,소공원,경상남도 거제시 사등면 사곡리 832-24,34.893433,128.5691096,3267,경상남도 거제시청,5370000,경상남도 거제시
소공원(옥포주공재건축),소공원,경상남도 거제시 옥포동 874-18,34.89844024,128.6950557,796,경상남도 거제시청,5370000,경상남도 거제시
소공원,소공원,경상남도 거제시 상동동 927-10,34.85962935,128.6309152,5622,경상남도 거제시청,5370000,경상남도 거제시
소공원,소공원,경상남도 거제시 상동동 927-5,34.861133,128.630681,3187,경상남도 거제시청,5370000,경상남도 거제시
옥포대첩기념공원,역사공원,경상남도 거제시 옥포동 산1-1,34.90219572,128.7140589,132671,경상남도 거제시청,5370000,경상남도 거제시
칠천량해전공원,역사공원,경상남도 거제시 하청면 연구리 산85-4,34.97766166,128.6282474,12519,경상남도 거제시청,5370000,경상남도 거제시
장승포 장미공원,문화공원,경상남도 거제시 능포동 산42-8,34.87736586,128.7358386,6028,경상남도 거제시청,5370000,경상남도 거제시
