순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
284,전라남도,화순군,만연사,전남 화순군 진각로 367-0,역사관광,종교성지,5483
285,전라남도,나주시,나주CC,전남 나주시 상방신포길 160-27,레저스포츠,육상레저스포츠,5467
286,전라남도,영암군,삼호버스종합터미널,전남 영암군 삼호중앙로 242-0,기타관광,교통시설,5459
287,전라남도,목포시,유달산,전남 목포시,자연관광,자연경관(산),5387
288,전라남도,구례군,섬진강대나무숲길,전남 구례군,기타관광,기타관광,5383
289,전라남도,광양시,광양역,전남 광양시 해광로 800-0,기타관광,교통시설,5371
289,전라남도,신안군,무한의다리,전남 신안군,기타관광,기타관광,5371
291,전라남도,함평군,용천사,전남 함평군 용천사길 209-0,역사관광,종교성지,5369
292,전라남도,광양시,전남드래곤즈축구전용구장,전남 광양시 백운로 1641-0,문화관광,레저스포츠시설,5360
293,전라남도,여수시,여수중앙시장,전남 여수시 중앙로 43-0,쇼핑,시장,5340
294,전라남도,순천시,CGV순천,전남 순천시 장명로 22-0,문화관광,공연시설,5331
295,전라남도,여수시,낭도항,전남 여수시,자연관광,자연경관(하천/해양),5326
296,전라남도,강진군,무위사,전남 강진군 무위사로 308-0,역사관광,종교성지,5308
297,전라남도,진도군,진도수산시장,전남 진도군 남동1길 40-12,쇼핑,시장,5295
298,전라남도,무안군,홀통해변,전남 무안군,자연관광,자연경관(하천/해양),5285
299,전라남도,순천시,순천부영CC,전남 순천시,레저스포츠,육상레저스포츠,5282
300,전라남도,함평군,자연생태공원,전남 함평군 학동로 1398-77,문화관광,도시공원,5265
301,전라남도,순천시,순천만국가정원빛의서문,전남 순천시 국가정원1호길 47-0,문화관광,전시시설,5211
302,전라남도,해남군,4est수목원,전남 해남군,문화관광,테마공원,5206
303,전라남도,무안군,홀통유원지,전남 무안군,문화관광,복합관광시설,5200
304,전라남도,화순군,화순역,전남 화순군 오성로 488-5,기타관광,교통시설,5157
305,전라남도,신안군,백길해변,전남 신안군 자은서부1길 163-119,자연관광,자연경관(하천/해양),5140
306,전라남도,장성군,상무대컨트리클럽,전남 장성군,레저스포츠,육상레저스포츠,5134
306,전라남도,고흥군,나로도연안여객선터미널,전남 고흥군 나로도항길 120-7,기타관광,교통시설,5134
308,전라남도,진도군,진도경찰수련원,전남 진도군 가계길 73-0,레저스포츠,육상레저스포츠,5121
309,전라남도,화순군,테마파크소풍,전남 화순군 지석로 1202-7,문화관광,테마공원,5065
310,전라남도,고흥군,팔영산편백치유의숲,전남 고흥군,자연관광,자연공원,5059
311,전라남도,완도군,완도청해포구촬영장,전남 완도군 청해진서로 1161-8,기타관광,기타관광,5055
312,전라남도,순천시,역전시장,전남 순천시 역전장길 9-0,쇼핑,시장,5027
313,전라남도,장성군,장성공용버스터미널,전남 장성군 영천로 125-0,기타관광,교통시설,5025
314,전라남도,여수시,국동항수변공원,전남 여수시,문화관광,도시공원,4975
315,전라남도,담양군,담양추억의골목,전남 담양군 금성산성길 282-6,문화관광,전시시설,4964
316,전라남도,보성군,득량역,전남 보성군 역전길 28-0,기타관광,교통시설,4962
317,전라남도,함평군,함평역,전남 함평군 영산로 3530-0,기타관광,교통시설,4936
318,전라남도,영광군,가마미해수욕장,전남 영광군,자연관광,자연경관(하천/해양),4928
319,전라남도,광양시,CGV광양엘에프스퀘어,전남 광양시 순광로 466-0,문화관광,공연시설,4918
320,전라남도,목포시,장미의거리,전남 목포시 장미로 40-0,기타관광,기타관광,4911
321,전라남도,해남군,울돌목스카이워크,전남 해남군,기타관광,기타관광,4901
322,전라남도,담양군,한재골계곡,전남 담양군,자연관광,자연경관(산),4870
323,전라남도,광양시,백운아트홀휴관중(2024년01월02일개관예정),전남 광양시 금호로 215-0,문화관광,공연시설,4863
324,전라남도,영광군,백수노을광장전망대,전남 영광군,문화관광,랜드마크관광,4844
325,전라남도,강진군,주작산자연휴양림,전남 강진군 주작산길 398-0,자연관광,자연공원,4810
325,전라남도,나주시,느러지전망관람대,전남 나주시,문화관광,랜드마크관광,4810
327,전라남도,여수시,소호동동다리,전남 여수시,기타관광,기타관광,4807
327,전라남도,목포시,국립해양문화재연구소,전남 목포시 남농로 136-0,문화관광,전시시설,4807
327,전라남도,영광군,영광물무산행복숲질퍽질퍽맨발황톳길,전남 영광군,기타관광,기타관광,4807
330,전라남도,광양시,광양5일시장,전남 광양시 백운로 3-0,쇼핑,시장,4785
331,전라남도,고흥군,남열해돋이해수욕장,전남 고흥군,자연관광,자연경관(하천/해양),4784
332,전라남도,여수시,CGV여수웅천,전남 여수시 웅천로 19-35,문화관광,공연시설,4775
333,전라남도,목포시,목포시민문화체육센터,전남 목포시 부주로 312-0,문화관광,기타문화관광지,4768
334,전라남도,영광군,향화도선착장,전남 영광군 향화로 2-7,기타관광,교통시설,4736
335,전라남도,순천시,순천만잡월드,전남 순천시,기타관광,기타관광,4706
336,전라남도,무안군,무안전통시장,전남 무안군 승달로 11-0,쇼핑,시장,4689
337,전라남도,목포시,목포근대역사관2관,전남 목포시 번화로 18-0,문화관광,전시시설,4671
338,전라남도,나주시,불회사,전남 나주시 다도로 1224-142,역사관광,종교성지,4658
339,전라남도,신안군,암태남강항여객선터미널,전남 신안군 중부로 1502-79,기타관광,교통시설,4647
340,전라남도,순천시,순천CC,전남 순천시 동화사길 85-0,레저스포츠,육상레저스포츠,4606
341,전라남도,화순군,화순고인돌유적지,전남 화순군,역사관광,역사유적지,4581
342,전라남도,화순군,무등산편백자연휴양림,전남 화순군 안양산로 685-0,자연관광,자연공원,4567
343,전라남도,진도군,쉬미항,전남 진도군 서부해안로 0-0,자연관광,자연경관(하천/해양),4566
344,전라남도,나주시,중흥골드스파리조트워터락,전남 나주시 나주호로 558-314,체험관광,웰니스관광,4543
345,전라남도,여수시,모사금해변,전남 여수시,자연관광,자연경관(하천/해양),4539
346,전라남도,여수시,테디베어뮤지엄여수,전남 여수시 안심산길 155-0,문화관광,전시시설,4502
347,전라남도,담양군,한국대나무박물관,전남 담양군 죽향문화로 35-0,문화관광,전시시설,4483
348,전라남도,강진군,백운동정원,전남 강진군 월하안운길 100-63,문화관광,도시공원,4452
349,전라남도,여수시,장도,전남 여수시,자연관광,자연경관(하천/해양),4380
350,전라남도,여수시,성산공원,전남 여수시,문화관광,도시공원,4357
351,전라남도,진도군,진도신비의바닷길,전남 진도군,문화관광,테마공원,4347
352,전라남도,나주시,영산포풍물시장,전남 나주시 풍물시장2길 12-14,쇼핑,시장,4330
353,전라남도,여수시,여수엑스포컨벤션센터,전남 여수시 박람회길 1-0,문화관광,전시시설,4315
354,전라남도,순천시,중앙시장,전남 순천시 중앙시장길 18-0,쇼핑,시장,4305
355,전라남도,영광군,백바위해수욕장,전남 영광군,자연관광,자연경관(하천/해양),4297
356,전라남도,장흥군,정남진장흥물축제,전남 장흥군,문화관광,기타문화관광지,4271
357,전라남도,여수시,여수챌린지파크루지,전남 여수시,문화관광,테마공원,4268
358,전라남도,순천시,죽도봉공원,전남 순천시,문화관광,도시공원,4266
359,전라남도,구례군,섬진강벚꽃길,전남 구례군,기타관광,기타관광,4262
360,전라남도,강진군,고려청자박물관,전남 강진군 청자촌길 33-0,문화관광,전시시설,4242
361,전라남도,신안군,임자도,전남 신안군,자연관광,자연경관(하천/해양),4240
362,전라남도,광양시,포스코백운산수련원,전남 광양시 약수제단길 154-0,레저스포츠,육상레저스포츠,4185
363,전라남도,완도군,정도리구계등,전남 완도군,기타관광,기타관광,4179
364,전라남도,목포시,유달산조각공원,전남 목포시 유달로 180-0,문화관광,도시공원,4173
365,전라남도,진도군,진도항임시여객선터미널,전남 진도군,기타관광,교통시설,4135
366,전라남도,장성군,옐로우출렁다리,전남 장성군,기타관광,기타관광,4110
367,전라남도,화순군,수만리탐방지원센터,전남 화순군 중지길 200-0,기타관광,기타관광,4091
368,전라남도,보성군,보성시외버스터미널,전남 보성군 현충로 20-0,기타관광,교통시설,4083
369,전라남도,순천시,순천자연휴양림,전남 순천시 청소년수련원길 170-0,자연관광,자연공원,4080
370,전라남도,화순군,화순고인돌전통시장,전남 화순군 시장길 42-0,쇼핑,시장,4074
371,전라남도,여수시,여수봉황산자연휴양림,전남 여수시 대복길 160-0,자연관광,자연공원,4057
372,전라남도,목포시,메가박스목포하당,전남 목포시 옥암로 95-0,문화관광,공연시설,4031
373,전라남도,고흥군,녹동고속버스터미널,전남 고흥군 천마로 57-0,기타관광,교통시설,3990
