기초지자체,방문자 수
목포시,2.465471E7
여수시,2.6613226E7
순천시,2.4561782E7
나주시,1.6316356E7
광양시,1.3328248E7
담양군,1.5257722E7
곡성군,5471540.0
구례군,5724355.0
고흥군,6814804.0
보성군,6869278.0
화순군,1.223977E7
장흥군,5123136.0
강진군,5540826.0
해남군,8613468.0
영암군,1.022364E7
무안군,1.44552E7
함평군,6241725.0
영광군,7249004.0
장성군,9971556.0
완도군,5866084.0
진도군,4916454.0
신안군,6858134.0
