영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 산정동 1670-1 1층 103호,"전라남도 목포시 청호로 177, 1층 103호 (산정동)",58713,커피숍,142553.7256,145483.5915
영업/정상,영업,전라남도 목포시 산정동 1686-18번지 1층 ,"전라남도 목포시 원산로 38, 1층 (산정동)",58716,커피숍,142622.0232,145168.1404
영업/정상,영업,전라남도 목포시 용당동 1093-19번지 1층 ,"전라남도 목포시 송림로40번길 8, 1층 (용당동)",58651,커피숍,145187.4642,145566.551
영업/정상,영업,전라남도 목포시 산정동 1403번지 1층 ,"전라남도 목포시 남해로63번길 24, 1층 (산정동)",58737,일반조리판매,145276.6703,143913.3323
영업/정상,영업,전라남도 목포시 온금동 산 2-6 ,"전라남도 목포시 유달로 119, 2층 (온금동)",58630,커피숍,143126.1693,143527.8624
영업/정상,영업,전라남도 목포시 상동 1036 ,"전라남도 목포시 통일대로 63, 1층 (상동)",58688,다방,147853.2702,144763.9511
영업/정상,영업,전라남도 목포시 산정동 994-4 중앙하이츠 ,"전라남도 목포시 양을로41번길 42, 중앙하이츠 1층 114호,115호,116호 (산정동)",58640,기타 휴게음식점,143182.1168,145225.2585
영업/정상,영업,전라남도 목포시 옥암동 1345-7번지 ,"전라남도 목포시 남악2로9번길 10-11, 1층 (옥암동)",58680,편의점,149767.1631,145546.6046
영업/정상,영업,전라남도 목포시 죽교동 232번지 ,"전라남도 목포시 달성길40번길 5, 1층 (죽교동)",58726,커피숍,142944.7698,143955.2034
영업/정상,영업,전라남도 목포시 용해동 240-14 ,"전라남도 목포시 이로로 3, 1층 (용해동)",58701,커피숍,145557.468,145360.2308
영업/정상,영업,전라남도 목포시 상동 877-6 한솔문고 ,"전라남도 목포시 비파로 64, 한솔문고 5층 (상동)",58689,키즈카페,147423.7468,145231.3546
영업/정상,영업,전라남도 목포시 죽교동 516-101 ,"전라남도 목포시 해양대학로 240, 북항STATION 1층 (죽교동)",58719,편의점,142276.7482,144711.1331
영업/정상,영업,전라남도 목포시 옥암동 1152-4번지 ,"전라남도 목포시 당가두로 20, 2층 201호 (옥암동)",58674,기타 휴게음식점,148520.287,145643.3239
