순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
92,고흥군,나로우주센터우주과학관,전남 고흥군 하반로 490-0,문화관광,전시시설,18173
93,완도군,당목항,전남 완도군 당목길 0-0,기타관광,교통시설,17958
94,무안군,무안회산백련지,전남 무안군 백련로 333-0,자연관광,자연경관(하천/해양),17841
95,신안군,암태남강선착장,전남 신안군 중부로 1502-80,기타관광,교통시설,17821
96,여수시,국동항,전남 여수시,자연관광,자연경관(하천/해양),17789
97,목포시,유달산공원,전남 목포시 유달로 180-0,문화관광,도시공원,17559
98,해남군,땅끝선착장,전남 해남군 땅끝마을길 70-14,기타관광,교통시설,17452
99,목포시,목포종합수산시장,전남 목포시 해안로267번길 6-0,쇼핑,시장,16866
100,목포시,목포스카이워크,전남 목포시 해양대학로 59-0,기타관광,기타관광,16732
101,화순군,화순CC,전남 화순군 천태로 1000-151,레저스포츠,육상레저스포츠,16583
102,목포시,갓바위,전남 목포시,기타관광,기타관광,16415
103,고흥군,고흥우주발사전망대,전남 고흥군 해맞이로 840-0,문화관광,랜드마크관광,16396
104,순천시,파인힐스CC,전남 순천시 송광사길 99-0,레저스포츠,육상레저스포츠,16349
105,여수시,진남관공사중(2023년12월완공예정),전남 여수시 동문로 11-0,역사관광,역사유적지,16235
106,순천시,순천오픈세트장,전남 순천시 비례골길 24-0,기타관광,기타관광,16228
107,해남군,솔라시도CC,전남 해남군,레저스포츠,육상레저스포츠,16198
108,목포시,목포항,전남 목포시,자연관광,자연경관(하천/해양),15929
109,목포시,청호시장,전남 목포시 석현로 28-0,쇼핑,시장,15631
110,목포시,목포근대역사관1관,전남 목포시 영산로29번길 6-0,문화관광,전시시설,15621
111,여수시,여수엑스포여객선터미널,전남 여수시 엑스포대로 320-66,기타관광,교통시설,15557
112,장성군,황룡강생태공원,전남 장성군,문화관광,도시공원,15317
113,여수시,여수해상케이블카해야정류장,전남 여수시 자산4길 39-0,기타관광,기타관광,15159
114,여수시,웅천친수공원,전남 여수시 예울마루로 37-40,문화관광,도시공원,15019
115,목포시,목포해상케이블카고하도승강장,전남 목포시 고하도안길 186-0,기타관광,기타관광,14976
116,나주시,영산포공용터미널,전남 나주시 예향로 3803-0,기타관광,교통시설,14972
117,담양군,담양레이나CC,전남 담양군 깊은실길 169-0,레저스포츠,육상레저스포츠,14863
118,영광군,웨스트오션컨트리클럽,전남 영광군 해안로 1362-70,레저스포츠,육상레저스포츠,14860
119,화순군,엘리체컨트리클럽,전남 화순군 장곡길 55-0,레저스포츠,육상레저스포츠,14769
120,곡성군,광주CC,전남 곡성군 입면로 455-0,레저스포츠,육상레저스포츠,14644
121,보성군,윤제림,전남 보성군 주월산길 222-0,기타관광,기타관광,14115
122,여수시,무슬목해변,전남 여수시,자연관광,자연경관(하천/해양),13932
123,담양군,추월산,전남 담양군,자연관광,자연경관(산),13888
124,여수시,여수해양공원,전남 여수시,문화관광,도시공원,13757
125,여수시,녹테마레,전남 여수시 만성로 294-0,문화관광,전시시설,13735
126,여수시,여수세계박람회장,전남 여수시,기타관광,기타관광,13696
127,고흥군,남열해돋이해수욕장,전남 고흥군,자연관광,자연경관(하천/해양),13668
128,광양시,광양버스터미널,전남 광양시 순광로 688-0,기타관광,교통시설,13478
129,나주시,국립나주박물관,전남 나주시 고분로 747-0,문화관광,전시시설,13410
130,해남군,해남공룡박물관,전남 해남군 공룡박물관길 234-1,문화관광,전시시설,13299
131,여수시,모사금해변,전남 여수시,자연관광,자연경관(하천/해양),13262
132,나주시,빛가람전망대,전남 나주시 호수로 77-0,문화관광,랜드마크관광,13204
133,보성군,보성CC,전남 보성군 조성3길 338-0,레저스포츠,육상레저스포츠,13115
134,광양시,배알도수변공원,전남 광양시,문화관광,도시공원,13020
135,강진군,남미륵사,전남 강진군 풍동1길 24-13,역사관광,종교성지,12821
136,장흥군,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,문화관광,도시공원,12818
137,진도군,세방낙조전망대,전남 진도군,문화관광,랜드마크관광,12625
138,여수시,백야선착장,전남 여수시 백야해안길 0-0,기타관광,교통시설,12526
139,여수시,디오션CC,전남 여수시,레저스포츠,육상레저스포츠,12503
140,진도군,진도타워,전남 진도군 만금길 112-41,문화관광,랜드마크관광,12491
141,광양시,광양청매실농원,전남 광양시 지막1길 55-0,체험관광,농/산/어촌체험,12475
142,여수시,여수해양레일바이크,전남 여수시 망양로 187-0,레저스포츠,기타레저스포츠,12455
143,곡성군,곡성역,전남 곡성군 곡성로 920-0,기타관광,교통시설,12429
144,순천시,순천시농산물도매시장,전남 순천시 해광로 1-0,쇼핑,시장,12406
145,담양군,담양공용버스터미널,전남 담양군 중앙로 24-1,기타관광,교통시설,12207
146,해남군,미황사,전남 해남군 미황사길 164-0,역사관광,종교성지,12157
147,화순군,세량제,전남 화순군,자연관광,자연경관(하천/해양),11958
148,진도군,진도개테마파크,전남 진도군 성죽골길 37-0,기타관광,기타관광,11949
149,무안군,무안클린밸리CC,전남 무안군 태봉길 33-126,레저스포츠,육상레저스포츠,11900
150,완도군,완도타워,전남 완도군 장보고대로 330-0,문화관광,랜드마크관광,11895
151,화순군,도곡온천단지,전남 화순군 온천1길 45-0,문화관광,복합관광시설,11817
152,순천시,포라이즌,전남 순천시 오실길 333-0,레저스포츠,육상레저스포츠,11808
153,고흥군,나로도항,전남 고흥군 나로도항길 169-0,자연관광,자연경관(하천/해양),11790
154,광양시,중마시장,전남 광양시 중마중앙로 88-0,쇼핑,시장,11763
155,목포시,고하도전망대,전남 목포시 고하도안길 234-0,문화관광,랜드마크관광,11690
156,신안군,무한의다리,전남 신안군,기타관광,기타관광,11508
157,나주시,나주시외버스터미널,전남 나주시 나주로 192-0,기타관광,교통시설,11465
158,담양군,창평시장,전남 담양군 사동길 14-24,쇼핑,시장,11344
159,화순군,운주사,전남 화순군 천태로 91-44,역사관광,종교성지,11242
160,신안군,백길해변,전남 신안군 자은서부1길 163-119,자연관광,자연경관(하천/해양),11203
161,영광군,설도항,전남 영광군 향화로5길 0-0,자연관광,자연경관(하천/해양),11197
162,구례군,구례5일장,전남 구례군 5일시장작은길 20-0,쇼핑,시장,11151
163,구례군,섬진강대나무숲길,전남 구례군,기타관광,기타관광,10881
163,영광군,가마미해수욕장,전남 영광군,자연관광,자연경관(하천/해양),10881
165,여수시,세이지우드여수경도CC,전남 여수시 대경도길 111-0,레저스포츠,육상레저스포츠,10814
166,영암군,왕인박사유적지,전남 영암군 왕인로 440-0,역사관광,역사유적지,10633
167,여수시,낭도항,전남 여수시,자연관광,자연경관(하천/해양),10492
168,고흥군,고흥공용시외버스터미널,전남 고흥군 여산당촌길 19-0,기타관광,교통시설,10412
169,목포시,목포자연사박물관,전남 목포시 남농로 135-0,문화관광,전시시설,10325
170,진도군,서망항,전남 진도군 서망항길 70-15,자연관광,자연경관(하천/해양),10283
171,순천시,순천만습지갈대군락지,전남 순천시,기타관광,기타관광,10137
172,여수시,천사벽화마을,전남 여수시,기타관광,기타관광,10072
173,여수시,여수시티파크리조트CC,전남 여수시 좌수영로 641-0,레저스포츠,육상레저스포츠,10036
174,완도군,완도공용버스터미널,전남 완도군 개포로130번길 20-0,기타관광,교통시설,9957
175,나주시,드들강솔밭유원지,전남 나주시,문화관광,복합관광시설,9907
176,순천시,순천부영CC,전남 순천시,레저스포츠,육상레저스포츠,9877
177,신안군,대광해변,전남 신안군,자연관광,자연경관(하천/해양),9824
178,장성군,옐로우출렁다리,전남 장성군,기타관광,기타관광,9699
179,여수시,서시장,전남 여수시 좌수영로 16-6,쇼핑,시장,9648
180,구례군,구례자연드림파크,전남 구례군 용산로 107-66,문화관광,복합관광시설,9594
181,나주시,CGV나주,전남 나주시 상야4길 16-16,문화관광,공연시설,9362
182,순천시,순천만국제습지센터,전남 순천시 국가정원1호길 47-0,기타관광,기타관광,9286
183,해남군,우수영국민관광지,전남 해남군,문화관광,복합관광시설,9265
184,영광군,영광칠산타워,전남 영광군 향화로 2-10,문화관광,랜드마크관광,9234
185,순천시,웃장,전남 순천시 북문길 40-0,쇼핑,시장,9197
186,목포시,CGV목포평화광장,전남 목포시 원형동로 53-0,문화관광,공연시설,9149
187,영암군,월출산기찬랜드,전남 영암군 기찬랜드로 19-3,문화관광,테마공원,9125
188,완도군,화흥포여객선터미널,전남 완도군 화흥포길 242-0,기타관광,교통시설,9078
189,함평군,함평시외버스터미널,전남 함평군 중앙길 46-0,기타관광,교통시설,9044
190,여수시,방죽포해변,전남 여수시,자연관광,자연경관(하천/해양),8998
191,구례군,구례공영버스터미널,전남 구례군 중앙로 8-0,기타관광,교통시설,8980
192,영광군,한빛원자력발전소홍보관,전남 영광군 홍농로 846-0,문화관광,전시시설,8926
193,순천시,모다아울렛순천점,전남 순천시 상성길 70-0,쇼핑,쇼핑몰,8924
194,신안군,천사섬분재공원,전남 신안군 무지개길 330-0,문화관광,테마공원,8913
195,담양군,담양곤충박물관,전남 담양군 담양88로 428-0,문화관광,전시시설,8894
196,화순군,동구리호수공원,전남 화순군,문화관광,도시공원,8822
197,목포시,자유시장,전남 목포시 자유로 122-0,쇼핑,시장,8761
198,진도군,진도신비의바닷길,전남 진도군,문화관광,테마공원,8691
199,보성군,제암산자연휴양림,전남 보성군 대산길 330-0,자연관광,자연공원,8587
200,신안군,임자도,전남 신안군,자연관광,자연경관(하천/해양),8520
201,여수시,롯데몰여수점,전남 여수시 국포1로 36-0,쇼핑,쇼핑몰,8507
202,영암군,독천터미널,전남 영암군 영산로 6-0,기타관광,교통시설,8495
203,고흥군,녹동신항,전남 고흥군 비봉로 266-16,자연관광,자연경관(하천/해양),8458
204,강진군,강진만생태공원,전남 강진군 생태공원길 47-0,문화관광,도시공원,8441
205,여수시,소호동동다리,전남 여수시,기타관광,기타관광,8434
206,광양시,몰오브광양,전남 광양시 금호로 26-0,쇼핑,쇼핑몰,8423
207,함평군,함평엑스포공원,전남 함평군 곤재로 27-0,문화관광,도시공원,8355
208,곡성군,압록유원지,전남 곡성군,문화관광,복합관광시설,8351
209,장성군,백양우리CC,전남 장성군 봉암로 1574-0,레저스포츠,육상레저스포츠,8228
210,장흥군,장흥시외버스터미널,전남 장흥군 중앙로1길 8-0,기타관광,교통시설,8218
211,광양시,광양항컨테이너부두,전남 광양시,자연관광,자연경관(하천/해양),8212
212,보성군,벌교시장,전남 보성군 시장2길 10-35,쇼핑,시장,8174
213,무안군,조금나루해변,전남 무안군,자연관광,자연경관(하천/해양),8139
214,강진군,다산초당,전남 강진군 다산초당길 68-35,역사관광,역사유적지,8132
215,해남군,송호해수욕장,전남 해남군,자연관광,자연경관(하천/해양),8119
216,여수시,장도,전남 여수시,자연관광,자연경관(하천/해양),8064
217,목포시,유달산,전남 목포시,자연관광,자연경관(산),8042
218,해남군,땅끝국민관광지,전남 해남군 땅끝마을길 42-0,문화관광,복합관광시설,8029
219,진도군,진도종합버스터미널,전남 진도군 남문길 5-0,기타관광,교통시설,8014
220,화순군,조아밸리CC,전남 화순군 고인돌2로 450-0,레저스포츠,육상레저스포츠,7976
221,무안군,무안황토갯벌랜드,전남 무안군 황토갯벌길 88-0,문화관광,복합관광시설,7829
222,보성군,대한다업보성다원제1농장,전남 보성군 녹차로 763-43,체험관광,농/산/어촌체험,7826
223,보성군,보성역,전남 보성군 현충로 90-0,기타관광,교통시설,7793
224,신안군,송공리선착장,전남 신안군 압해로 1852-14,기타관광,교통시설,7777
225,여수시,GS칼텍스예울마루,전남 여수시 예울마루로 100-0,문화관광,공연시설,7761
226,보성군,벌교공용버스터미널,전남 보성군 조정래길 2-8,기타관광,교통시설,7750
227,담양군,죽향CC,전남 담양군 창평로 159-0,레저스포츠,육상레저스포츠,7686
228,완도군,완도수목원,전남 완도군 초평1길 156-0,자연관광,자연공원,7667
229,담양군,담양온천,전남 담양군 금성산성길 202-0,체험관광,웰니스관광,7592
230,광양시,전남도립미술관,전남 광양시 순광로 680-4,문화관광,전시시설,7572
231,보성군,보성비봉공룡공원,전남 보성군 공룡로 822-51,문화관광,도시공원,7563
232,여수시,오동도유람선터미널,전남 여수시,기타관광,교통시설,7483
233,구례군,지리산온천랜드본관 휴업중,전남 구례군 지리산온천로 261-0,체험관광,웰니스관광,7455
234,완도군,완도항,전남 완도군,자연관광,자연경관(하천/해양),7440
235,강진군,가우도,전남 강진군,자연관광,자연경관(하천/해양),7428
236,영광군,에콜리안영광CC,전남 영광군 월현로1길 40-0,레저스포츠,육상레저스포츠,7421
237,광양시,백운산자연휴양림,전남 광양시 백계로 337-0,자연관광,자연공원,7412
238,장흥군,정남진전망대,전남 장흥군 정남진해안로 242-58,문화관광,랜드마크관광,7362
239,나주시,빛가람호수공원,전남 나주시,문화관광,도시공원,7282
240,영암군,영암여객자동차터미널,전남 영암군 동문로 8-0,기타관광,교통시설,7262
241,여수시,대경도대합실,전남 여수시 어항단지로 124-0,자연관광,자연경관(하천/해양),7253
242,영암군,삼호버스종합터미널,전남 영암군 삼호중앙로 242-0,기타관광,교통시설,7250
243,함평군,함평천지CC,전남 함평군 함장로 889-11,레저스포츠,육상레저스포츠,7231
244,진도군,명량해상케이블카진도타워상부승강장,전남 진도군 만금길 112-41,기타관광,기타관광,7188
245,순천시,메가박스순천,전남 순천시 충효로 15-0,문화관광,공연시설,7033
246,담양군,창평CC,전남 담양군 오산길 100-0,레저스포츠,육상레저스포츠,6948
247,장성군,장미공원,전남 장성군,문화관광,도시공원,6930
248,무안군,홀통해변,전남 무안군,자연관광,자연경관(하천/해양),6898
249,강진군,청자다리,전남 강진군,기타관광,기타관광,6850
250,화순군,금호화순아쿠아나,전남 화순군 옥리길 14-7,체험관광,웰니스관광,6842
251,구례군,섬진강벚꽃길,전남 구례군,기타관광,기타관광,6837
252,해남군,두륜산케이블카,전남 해남군 대흥사길 88-45,기타관광,기타관광,6826
253,여수시,백야도,전남 여수시,자연관광,자연경관(하천/해양),6820
254,순천시,순천만잡월드,전남 순천시,기타관광,기타관광,6812
255,장성군,백양사역,전남 장성군 백양로 2-14,기타관광,교통시설,6803
256,목포시,연희네슈퍼,전남 목포시 해안로127번길 14-2,문화관광,기타문화관광지,6707
257,완도군,화흥포항,전남 완도군 화흥포길 243-0,자연관광,자연경관(하천/해양),6658
258,여수시,소호요트경기장,전남 여수시 소호로 392-0,레저스포츠,수상레저스포츠,6643
259,해남군,도솔암,전남 해남군 마봉송종길 355-300,역사관광,종교성지,6599
260,화순군,만연사,전남 화순군 진각로 367-0,역사관광,종교성지,6582
261,여수시,교동시장,전남 여수시 교동시장1길 0-0,쇼핑,시장,6554
262,목포시,김대중노벨평화상기념관,전남 목포시 삼학로92번길 68-0,문화관광,전시시설,6502
263,신안군,천사대교관광안내소,전남 신안군,기타관광,기타관광,6439
264,화순군,테마파크소풍,전남 화순군 지석로 1202-7,문화관광,테마공원,6418
265,목포시,목포국제축구센터,전남 목포시 내화마을길 89-0,문화관광,레저스포츠시설,6407
266,광양시,광양와인동굴,전남 광양시 강정길 33-0,자연관광,자연생태,6403
267,완도군,완도항3부두,전남 완도군,자연관광,자연경관(하천/해양),6373
268,해남군,4est수목원,전남 해남군,문화관광,테마공원,6341
269,고흥군,고흥전통시장,전남 고흥군 시장길 20-0,쇼핑,시장,6340
270,보성군,대원사,전남 보성군 죽산길 506-8,역사관광,종교성지,6248
271,영암군,사우스링스영암CC카일필립스,전남 영암군 에프원로 121-2,레저스포츠,육상레저스포츠,6222
272,여수시,해양수산과학관,전남 여수시 돌산로 2876-0,문화관광,전시시설,6167
273,진도군,진도수산시장,전남 진도군 남동1길 40-12,쇼핑,시장,6122
274,나주시,나주힐스CC,전남 나주시 신지로 806-0,레저스포츠,육상레저스포츠,6079
275,여수시,국동항수변공원,전남 여수시,문화관광,도시공원,6051
276,완도군,완도청해포구촬영장,전남 완도군 청해진서로 1161-8,기타관광,기타관광,6035
