순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
351,곡성군,압록상상스쿨,전남 곡성군 섬진강로 1060-0,문화관광,기타문화관광지,4367
352,여수시,디오션리조트워터파크,전남 여수시 소호로 295-0,문화관광,테마공원,4355
353,광양시,광양5일시장,전남 광양시 백운로 3-0,쇼핑,시장,4328
354,장흥군,회진항,전남 장흥군 회진선창길 0-0,자연관광,자연경관(하천/해양),4301
355,순천시,죽도봉공원,전남 순천시,문화관광,도시공원,4300
356,담양군,담양호,전남 담양군,자연관광,자연경관(하천/해양),4295
357,영암군,신북시외버스터미널,전남 영암군,기타관광,교통시설,4273
358,여수시,화태도,전남 여수시,자연관광,자연경관(하천/해양),4237
359,보성군,득량역,전남 보성군 역전길 28-0,기타관광,교통시설,4233
360,담양군,명옥헌,전남 담양군 후산길 103-0,기타관광,기타관광,4218
361,영광군,영광물무산행복숲,전남 영광군,문화관광,도시공원,4183
362,목포시,유달산조각공원,전남 목포시 유달로 180-0,문화관광,도시공원,4177
363,순천시,중앙시장,전남 순천시 중앙시장길 18-0,쇼핑,시장,4172
364,담양군,담양호국민관광단지,전남 담양군,문화관광,복합관광시설,4158
365,여수시,신덕해변,전남 여수시,자연관광,자연경관(하천/해양),4125
366,담양군,용마루길,전남 담양군,기타관광,기타관광,4119
367,해남군,울돌목스카이워크,전남 해남군,기타관광,기타관광,4083
368,영광군,홍농버스터미널,전남 영광군 상하길 28-0,기타관광,교통시설,4071
369,영암군,영암곤충박물관,전남 영암군 기찬랜드로 41-0,문화관광,전시시설,4065
370,무안군,무안전통시장,전남 무안군 승달로 11-0,쇼핑,시장,4050
371,화순군,무등산편백자연휴양림,전남 화순군 안양산로 685-0,자연관광,자연공원,4044
372,나주시,영산포풍물시장,전남 나주시 풍물시장2길 12-14,쇼핑,시장,4025
373,고흥군,녹동고속버스터미널,전남 고흥군 천마로 57-0,기타관광,교통시설,3974
374,무안군,홀통유원지,전남 무안군,문화관광,복합관광시설,3944
375,함평군,함평엑스포물놀이장,전남 함평군 곤재로 27-0,문화관광,테마공원,3931
376,목포시,목포근대역사관2관,전남 목포시 번화로 18-0,문화관광,전시시설,3924
377,순천시,와온공원,전남 순천시 와온길 128-0,문화관광,도시공원,3919
378,보성군,보성시외버스터미널,전남 보성군 현충로 20-0,기타관광,교통시설,3907
379,나주시,불회사,전남 나주시 다도로 1224-142,역사관광,종교성지,3878
380,무안군,일로역,전남 무안군,기타관광,교통시설,3849
381,영광군,영광터미널시장,전남 영광군 신남로 192-0,쇼핑,시장,3815
382,순천시,낙안읍성,전남 순천시,역사관광,역사유적지,3807
383,고흥군,대전해수욕장,전남 고흥군,자연관광,자연경관(하천/해양),3806
384,광양시,백운아트홀휴관중(2024년01월02일개관예정),전남 광양시 금호로 215-0,문화관광,공연시설,3805
385,목포시,유달유원지,전남 목포시 해양대학로 59-0,문화관광,복합관광시설,3796
386,구례군,수락폭포,전남 구례군,자연관광,자연경관(산),3790
387,무안군,남악시장,전남 무안군,쇼핑,시장,3776
387,여수시,여수장도근린공원,전남 여수시,문화관광,도시공원,3776
387,나주시,나주은행나무수목원,전남 나주시 동촌로 236-51,문화관광,테마공원,3776
390,담양군,한국대나무박물관,전남 담양군 죽향문화로 35-0,문화관광,전시시설,3755
391,함평군,문장터미널,전남 함평군 해삼로 364-4,기타관광,교통시설,3701
392,여수시,성산공원,전남 여수시,문화관광,도시공원,3700
393,화순군,화순고인돌전통시장,전남 화순군 시장길 42-0,쇼핑,시장,3698
394,목포시,국립해양문화재연구소,전남 목포시 남농로 136-0,문화관광,전시시설,3689
395,나주시,영산강둔치체육공원,전남 나주시,문화관광,도시공원,3688
396,완도군,약산당목대합실,전남 완도군 당목길 135-0,자연관광,자연경관(하천/해양),3679
397,구례군,천개의향나무숲,전남 구례군 천변길 12-0,문화관광,테마공원,3671
398,여수시,대경도선착장,전남 여수시 대경도길 6-0,기타관광,교통시설,3644
399,광양시,전남드래곤즈축구전용구장,전남 광양시 백운로 1641-0,문화관광,레저스포츠시설,3636
400,여수시,돌산항,전남 여수시 남외길 23-7,자연관광,자연경관(하천/해양),3619
401,화순군,수만리탐방지원센터,전남 화순군 중지길 200-0,기타관광,기타관광,3615
402,곡성군,도림사,전남 곡성군 도림로 175-0,역사관광,종교성지,3605
402,순천시,청춘창고,전남 순천시 역전길 34-0,문화관광,기타문화관광지,3605
404,고흥군,팔영산자연휴양림,전남 고흥군 팔영로 1347-418,자연관광,자연공원,3595
405,여수시,여수엑스포컨벤션센터,전남 여수시 박람회길 1-0,문화관광,전시시설,3580
406,여수시,여수세계박람회장해양공원,전남 여수시 박람회길 1-0,문화관광,도시공원,3577
407,순천시,낙안민속자연휴양림,전남 순천시 민속마을길 1600-0,자연관광,자연공원,3574
408,여수시,이순신공원,전남 여수시 신월로 168-0,문화관광,도시공원,3567
409,순천시,순천만달밤야시장,전남 순천시,쇼핑,시장,3517
410,신안군,암태남강항여객선터미널,전남 신안군 중부로 1502-79,기타관광,교통시설,3512
411,고흥군,익금해수욕장,전남 고흥군,자연관광,자연경관(하천/해양),3508
412,담양군,금성산성,전남 담양군,역사관광,역사유적지,3506
413,여수시,이순신마리나,전남 여수시,레저스포츠,수상레저스포츠,3495
414,나주시,금성관,전남 나주시 금성관길 8-0,역사관광,역사유적지,3475
415,강진군,강진시장,전남 강진군 시장길 19-0,쇼핑,시장,3473
416,담양군,테테루테마파크,전남 담양군 메타세쿼이아로 146-0,문화관광,테마공원,3468
417,광양시,광양CC,전남 광양시 가야로 223-0,레저스포츠,육상레저스포츠,3454
418,신안군,비금가산선착장,전남 신안군 서남문로 0-0,기타관광,교통시설,3444
419,여수시,이순신대교홍보관,전남 여수시,문화관광,기타문화관광지,3438
420,목포시,중앙시장,전남 목포시 원산중앙로 51-0,쇼핑,시장,3437
421,장성군,국립장성치유의숲,전남 장성군 추암로 716-0,자연관광,자연공원,3431
422,목포시,노적봉,전남 목포시 유달로 0-0,자연관광,자연경관(산),3425
423,해남군,갈두항,전남 해남군 땅끝마을길 0-0,자연관광,자연경관(하천/해양),3404
424,화순군,동가리숲속유원지,전남 화순군 동산1길 78-0,문화관광,복합관광시설,3395
425,담양군,담빛예술창고,전남 담양군 객사7길 75-0,문화관광,기타문화관광지,3389
426,보성군,율포해수녹차온천탕,전남 보성군 우암길 24-0,체험관광,웰니스관광,3375
