"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"함평해수찜",관광지,전라남도 함평군 손불면 석산로 61,,35.10050068,126.4648643,993,X,,해수욕장,,,,2000-11-11,500,100,온천과 약찜의 효능을 한꺼번에 즐길수 있음,061-320-1784,함평군,2022-11-09
"함평자연생태공원",관광지,전라남도 함평군 대동면 학동로 1398-77,,35.13500123,126.5056999542,597250,화장실+주차장,,식물원+산림휴양시설,,,,2000-11-11,10000,100,사계절 탐방학습과 생태체험,061-320-2851,함평군,2022-11-09
"함평양서파충류생태공원",관광지,전라남도 함평군 신광면 학동로 1398-9,,35.13834076,126.4937003,85000,화장실+주차장,,동물원,,,,2000-11-11,5000,100,국내 최대 양서파충류 전문 전시관,061-320-2874,함평군,2022-11-09
"함평엑스포공원",관광지,전라남도 함평군 함평읍 곤재로 27,,35.05813923,126.5226056,246907,화장실+주차장+관광안내소,,파크골프장+미술관+종합유원시설,공연장,,,2000-11-11,50000,100,아시아생태문화관광지,061-320-2204,함평군,2022-11-09
"일강김철선생기념관",관광지,전라남도 함평군 신광면 일강로 873-12,,35.18893103,126.4801235,10770,화장실+주차장,,,,,,2009-06-29,300,10,독립운동가 김철선생의 애국정신을 재조명하는 교육의 장,061-320-1455,함평군,2022-11-09
"꽃무릇공원",관광지,전라남도 함평군 해보면 용천사길 209,,35.1835278636,126.5452774371,13913,화장실+주차장,,농어촌휴양시설,공연장+관광식당,,,2000-09-01,10000,350,"한국의 백경중 일경에 속하는 40여만평의 꽃무릇과 나비, 꽃무릇공원을 배경으로 매년 9월 꽃무릇큰잔치가 열리고 있습니다",061-320-2773,함평군,2022-11-09
"함평자동차극장",관광지,전라남도 함평군 함평읍 함장로 1162,,35.0591292,126.5232366,26183,화장실+주차장+매점+매표소,,자동차영화관,,,,2021-02-18,180,180,최신 영화를 자동차에서 편하게 관람하실 수 있습니다,061-320-2225,함평군,2022-11-09
