기초지자체,방문자 수
목포시,59046284 
여수시,52525032 
순천시,57830409 
나주시,25362796 
광양시,26420062 
담양군,8989684 
곡성군,5001024 
구례군,4799529 
고흥군,9263037 
보성군,6861628 
화순군,14426748 
장흥군,8757231 
강진군,7858648 
해남군,11711760 
영암군,12563621 
무안군,16929966 
함평군,4555106 
영광군,11188716 
장성군,7974190 
완도군,10853678 
진도군,5273884 
신안군,5283674 
