기초지자체,방문자 수
목포시,6.3880302E7
여수시,5.6949697E7
순천시,6.2647798E7
나주시,2.732388E7
광양시,2.907255E7
담양군,9955169.0
곡성군,5248999.0
구례군,5305514.0
고흥군,1.0289986E7
보성군,7542248.0
화순군,1.5280212E7
장흥군,9441772.0
강진군,8261824.0
해남군,1.2262761E7
영암군,1.335432E7
무안군,2.0416294E7
함평군,4868304.0
영광군,1.2226445E7
장성군,8635322.0
완도군,1.1740844E7
진도군,5814232.0
신안군,6024788.0
